Invoice;Quantity;Product;PurchasePrice (Unit);TotalAmount
FFCC141509;1487;MP02527;1.0522618324071418;1564.71
FFCC141509;2273;MP07144;0.5147377400714716;1170.0
FFCC141509;728;MP02547;1.122683531042532;817.31
FFCC141513;600;MP02961;0.48;288.0
FFCC141527;25368;MP03122;0.1130767993461877;2868.53
FFCC141528;18840;MP03122;0.1130767993461877;2130.37
FFCC141529;5400;MP03122;0.1130767993461877;610.61
FFCC141530;64788;MP03501Z;0.0008875979899836;57.51
FFCC141548;19874;MP02922;0.0348706049301973;693.02
FFCC141548;19552;MP02974;0.0436671873683517;853.78
FFCC141548;13833;MP02925;0.0376100670133691;520.26
FFCC141549;2039;MP019307;3.74993522153668;7646.12
FFCC141551;60000;P5051;0.03516;2109.6
FFCC141551;6300;P5159;0.0525;330.75
FFCC141552;8892;MP02895;0.0077357535867586;68.79
FFCC141552;3600;MP02896;0.0135;48.6
FFCC141553;5847;P6089;0.0774678585867419;452.95
FFCC141554;48827;MP02416;0.0748684937748759;3655.6
FFCC141620;77073;MP03119;0.0592666701132339;4567.86
FFCC141620;99900;MP03139;0.0271333923025698;2710.63
FFCC141620;6048;MP03149;0.03258;197.04
FFCC141622;237480;MP03502;0.0023454825837367;557.01
FFCC141622;180000;MP03501;0.0012586322351189;226.55
FFCC141623;85574;MP03504;0.0143765006530029;1230.25
FFCC141625;1388;MP02904;0.0272087543830132;37.77
FFCC141625;3714;MP02915;0.0377477335432163;140.2
FFCC141625;3518;MP02916;0.0255662592067554;89.94
FFCC141625;1224;MP02917;0.0147659427877961;18.07
FFCC141625;1615;MP028145;0.0064421648156857;10.4
FFCC141625;1200;MP02920;0.0100379999999999;12.05
FFCC141625;1633;MP02904;0.0272087543830132;44.43
FFCC141625;2775;MP02980;0.0859003314585688;238.37
FFCC141626;387;MP02948;0.0435437412736466;16.85
FFCC141628;1;MP02437;206.2209595750195;206.22
FFCC141629;1;MP02437;206.2209595750195;206.22
FFCC141630;1;MP02437;206.2209595750195;206.22
FFCC141647;1020;MP019110;2.937281039818424;2996.03
FFCC141647;790;MP019423;2.4233844713445505;1914.47
FFCC141647;737;MP019432;2.134855757994734;1573.39
